Company,Description,Experience,Function Area,Job Title,Location,Posting Date,Salary,Scraping Date,Tags
General Mills India Private Limited  , Minimum Degree Requirements - BCom / BMSPreferred Major Area of Study - Accounting and ...,0-0 Yrs,Accounting Jobs,Intern – SC accounting/ (Monitor & Resolve),Mumbai,8 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Communication Skills</li><li class=""fleft fs12 grey-text lh16 dot"">fresher</li><li class=""fleft fs12 grey-text lh16 dot"">intern</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">freshers</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Internship</li></ul>"
Allegis Services India Pvt. Ltd.," Candidate must have experience in Cash Applications, Order to Cash, Claims, billings, p...",0-3 Yrs,Accounting Jobs,Hiring Accounts Receivable For one of the Big Fours in Hyderabad,Hyderabad,2 Days Ago,"2,00,000 - more than 3,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">accounts receivable</li><li class=""fleft fs12 grey-text lh16 dot"">o2c</li><li class=""fleft fs12 grey-text lh16 dot"">collections</li><li class=""fleft fs12 grey-text lh16 dot"">payments</li><li class=""fleft fs12 grey-text lh16 dot"">accounting</li><li class=""fleft fs12 grey-text lh16 dot"">cash applications</li><li class=""fleft fs12 grey-text lh16 dot"">billing</li></ul>"
Tax Terminus, A candidate must have a degree in Bachelors of Commerce (BCom) from a recognized univer...,0-3 Yrs,Accounting Jobs,Junior Accountant / Accounts Executive / Senior Accountant,"Panchkula, Mohali, Chandigarh",1 Day Ago,"1,00,000 - 2,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">accounts executive</li><li class=""fleft fs12 grey-text lh16 dot"">accounts receivable</li><li class=""fleft fs12 grey-text lh16 dot"">tds</li><li class=""fleft fs12 grey-text lh16 dot"">accounts payable</li><li class=""fleft fs12 grey-text lh16 dot"">gst</li><li class=""fleft fs12 grey-text lh16 dot"">bank reconciliation statement</li><li class=""fleft fs12 grey-text lh16 dot"">accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Accounts Finalisation</li></ul>"
KRISHNA CUTLERY WORKS, DESCRIPTION POSITION: Accountant EDUCATION: Graduate / Post Graduate EXPERIENCE: 0 - 4 ...,0-5 Yrs,Accounting Jobs,Accounts Executive For a Manufacturing unit-Only Female,Delhi NCR(Bawana),1 Day Ago,"1,25,000 - 1,75,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Accounting Entries</li><li class=""fleft fs12 grey-text lh16 dot"">Tally Software</li><li class=""fleft fs12 grey-text lh16 dot"">accounts executive</li><li class=""fleft fs12 grey-text lh16 dot"">accounts officer</li><li class=""fleft fs12 grey-text lh16 dot"">Gst</li><li class=""fleft fs12 grey-text lh16 dot"">Accountant</li></ul>"
Fivebro water services LLP, Roles and Responsibilities Account executive.Desired Candidate Profile Perks and Benefits,0-2 Yrs,Accounting Jobs,"Accounts Executive,tally,GST",Ahmedabad,2 Days Ago,"1,00,000 - 1,75,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Tally</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Gst</li></ul>"
Miracle Coro Plast Pvt. Ltd., Advanced MS Excel skills including Vlookups and pivot tablesAdditional certification (C...,0-2 Yrs,Accounting Jobs,Accounts Executive,Jaipur,4 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Financial Statements</li><li class=""fleft fs12 grey-text lh16 dot"">Tax Returns</li><li class=""fleft fs12 grey-text lh16 dot"">balance</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Loss</li><li class=""fleft fs12 grey-text lh16 dot"">Profit</li><li class=""fleft fs12 grey-text lh16 dot"">sheet</li></ul>"
Oodles Technologies Pvt Ltd , 1) Manage the daily operations of accounting.2) Process month and end year process.3) A...,0-1 Yrs,Accounting Jobs,Account Executive (DM 1683),Gurgaon,9 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Tally</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Gst</li><li class=""fleft fs12 grey-text lh16 dot"">Accounts Payable</li></ul>"
ChaitanyaHR consultancy, Job Description Managing Maintaining Books of Accounts Cash Collections /Transactions R...,0-3 Yrs,Accounting Jobs,Account Executive,Hubli,7 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Tally</li><li class=""fleft fs12 grey-text lh16 dot"">Bank reconciliation</li><li class=""fleft fs12 grey-text lh16 dot"">Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Fixed assets</li><li class=""fleft fs12 grey-text lh16 dot"">Pharmacy</li><li class=""fleft fs12 grey-text lh16 dot"">Vendor</li><li class=""fleft fs12 grey-text lh16 dot"">Accounts Executive</li><li class=""fleft fs12 grey-text lh16 dot"">Fact</li></ul>"
Lancelot Technology, Job description Requirements MBA in Finance or M.Com would be suitable. 0 - 1 year of e...,0-1 Yrs,Accounting Jobs,Accounts Executive,Mysore,12 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Tally</li><li class=""fleft fs12 grey-text lh16 dot"">TDS</li><li class=""fleft fs12 grey-text lh16 dot"">Accounting</li><li class=""fleft fs12 grey-text lh16 dot"">Accounts Executive</li></ul>"
RANDSTAD INDIA PVT LTD, Male & female candidates also appliedShift Time - 8 AM to 8 PM ( Any 9 hours shift )Edu...,2-4 Yrs,Accounting Jobs,Accounts Payable Executive (normal Invoice Processing),Navi Mumbai,Today,"3,25,000 - 4,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">accounts receivable</li><li class=""fleft fs12 grey-text lh16 dot"">accounts payable</li><li class=""fleft fs12 grey-text lh16 dot"">sap</li><li class=""fleft fs12 grey-text lh16 dot"">Invoice Processing</li><li class=""fleft fs12 grey-text lh16 dot"">payment processing</li><li class=""fleft fs12 grey-text lh16 dot"">general ledger</li></ul>"
