Company,Description,Experience,Function Area,Job Title,Location,Posting Date,Salary,Scraping Date,Tags
HOTEL FIDALGO, F & B Associate Steward: Location Goa Responsible to serve Food & Beverage to guests in...,1-6 Yrs,Hotel Jobs,F & B Associate Steward,Panjim,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">guest satisfaction</li><li class=""fleft fs12 grey-text lh16 dot"">Hotel management</li><li class=""fleft fs12 grey-text lh16 dot"">F&amp;B Associate</li></ul>"
ROOTS CORPORATION LIMITED, Job Title Hotel Manager Department Operations Education Qualification Hotel Management ...,5-10 Yrs,Hotel Jobs,Hotel Manager,PAN India,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Incharge</li><li class=""fleft fs12 grey-text lh16 dot"">Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Performance management</li><li class=""fleft fs12 grey-text lh16 dot"">guest satisfaction</li><li class=""fleft fs12 grey-text lh16 dot"">hotel operations</li><li class=""fleft fs12 grey-text lh16 dot"">Hotel management</li><li class=""fleft fs12 grey-text lh16 dot"">Cost management</li><li class=""fleft fs12 grey-text lh16 dot"">Workflow</li></ul>"
Yes Tech Solutions Inc," Job profile - Restaurant mangerJob location - gohati , assamJob time - full time Salary...",1-5 Yrs,Hotel Jobs,Hotel Manager,Guwahati,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Hotel manager Restaurant Manager Company Profile Company Name yts</li></ul>"
Hotel Ramaya, Stewards,2-5 Yrs,Hotel Jobs,Stewards,Gwalior,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Steward</li></ul>"
Rathi Personnel Training & Placement Services Pvt. Ltd., Service Crew for Restaurants,2-4 Yrs,Hotel Jobs,Hotel Executive,Panipat,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Hotel management</li><li class=""fleft fs12 grey-text lh16 dot"">Service Executive</li></ul>"
Rathi Personnel Training & Placement Services Pvt. Ltd.," chef, hotel management",2-7 Yrs,Hotel Jobs,Hotel Management,Panipat,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Chef</li><li class=""fleft fs12 grey-text lh16 dot"">Hotel management</li></ul>"
Arion services," Recruiting, training and supervising staff. managing budgets. maintaining statistical a...",5-10 Yrs,Hotel Jobs,Hotel Manager Required in Malta (europe),United Kingdom (U.K),30+ Days Ago,"32,50,000 - 45,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">hotel manager</li><li class=""fleft fs12 grey-text lh16 dot"">hospitality manager</li><li class=""fleft fs12 grey-text lh16 dot"">hotel management</li><li class=""fleft fs12 grey-text lh16 dot"">restaurant management</li><li class=""fleft fs12 grey-text lh16 dot"">hospitality management</li><li class=""fleft fs12 grey-text lh16 dot"">resort manager</li><li class=""fleft fs12 grey-text lh16 dot"">hospitality deputy manager</li></ul>"
Beyond infinity consultancy, Call :- Kamini 9958238117 A Hotel Manager oversees all operations and day-to-day activi...,2-5 Yrs,Hotel Jobs,Hotel Managers - Apply Under PR Visa For Canada | Hong Kong,"Hong Kong, Canada",2 Days Ago,"37,50,000 - 90,00,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Hotel Manager</li><li class=""fleft fs12 grey-text lh16 dot"">Housekeeping</li><li class=""fleft fs12 grey-text lh16 dot"">Cafe</li><li class=""fleft fs12 grey-text lh16 dot"">Operations Manager</li><li class=""fleft fs12 grey-text lh16 dot"">Hotel Management</li><li class=""fleft fs12 grey-text lh16 dot"">restaurant manager</li><li class=""fleft fs12 grey-text lh16 dot"">Chef</li><li class=""fleft fs12 grey-text lh16 dot"">hospitality</li></ul>"
Hotel Eqbal Inn," Knowledge, Skills and Abilities: A secondary school diploma is preferred Physical mobil...",2-7 Yrs,Hotel Jobs,Room Attendant/ Room Boy,Patiala,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Housekeeping</li><li class=""fleft fs12 grey-text lh16 dot"">school</li><li class=""fleft fs12 grey-text lh16 dot"">Guest</li><li class=""fleft fs12 grey-text lh16 dot"">staff</li><li class=""fleft fs12 grey-text lh16 dot"">Customer service</li><li class=""fleft fs12 grey-text lh16 dot"">stock</li><li class=""fleft fs12 grey-text lh16 dot"">Room</li><li class=""fleft fs12 grey-text lh16 dot"">Business Executive</li></ul>"
HOTEL FIDALGO, Rooms Supervisor : Location Goa He should know how to check the room with proper checkl...,4-9 Yrs,Hotel Jobs,Rooms Supervisor,Panjim,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Supervisor</li><li class=""fleft fs12 grey-text lh16 dot"">process</li><li class=""fleft fs12 grey-text lh16 dot"">Hotel management</li><li class=""fleft fs12 grey-text lh16 dot"">Saving</li><li class=""fleft fs12 grey-text lh16 dot"">Computer savvy</li><li class=""fleft fs12 grey-text lh16 dot"">Catering</li><li class=""fleft fs12 grey-text lh16 dot"">Room</li><li class=""fleft fs12 grey-text lh16 dot"">Business Executive</li></ul>"
Ness Technologies," Roles and Responsibility 6 - 8 years of experience in SNOW Support - ITSM, javascript, ...",6-8 Yrs,Application Programming Jobs,Software Development - Application Programming,Bengaluru,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Application programming</li><li class=""fleft fs12 grey-text lh16 dot"">Debugging</li><li class=""fleft fs12 grey-text lh16 dot"">Social networking</li><li class=""fleft fs12 grey-text lh16 dot"">ITSM</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">Manager Technology</li><li class=""fleft fs12 grey-text lh16 dot"">angularjs</li><li class=""fleft fs12 grey-text lh16 dot"">MTS</li></ul>"
Okda Solutions, THE POSITION'S PURPOSE : The Application and SQL Developer serves as an integral part o...,5-10 Yrs,Application Programming Jobs,Application/sql Developer - Application Programming - .net/asp/vb/c#,Hyderabad,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">C#</li><li class=""fleft fs12 grey-text lh16 dot"">AngularJS</li><li class=""fleft fs12 grey-text lh16 dot"">SSRS</li><li class=""fleft fs12 grey-text lh16 dot"">Web Forms</li><li class=""fleft fs12 grey-text lh16 dot"">Webservices</li><li class=""fleft fs12 grey-text lh16 dot"">VB</li><li class=""fleft fs12 grey-text lh16 dot"">SSIS</li><li class=""fleft fs12 grey-text lh16 dot"">SQL</li></ul>"
Ness Technologies," Roles and Responsibility Support and foster a quality-first, agile culture that is buil...",10-12 Yrs,Application Programming Jobs,IT Software - Application Programming / Maintenance,Hyderabad,12 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Business process</li><li class=""fleft fs12 grey-text lh16 dot"">metadata</li><li class=""fleft fs12 grey-text lh16 dot"">Data management</li><li class=""fleft fs12 grey-text lh16 dot"">Database design</li><li class=""fleft fs12 grey-text lh16 dot"">Application programming</li><li class=""fleft fs12 grey-text lh16 dot"">Agile</li><li class=""fleft fs12 grey-text lh16 dot"">Oracle</li><li class=""fleft fs12 grey-text lh16 dot"">Apache</li></ul>"
shreshtha Business solutions, IT Software - Application Programming / Maintenance Job Description Roles and Responsib...,11-15 Yrs,Application Programming Jobs,IT Software - Application Programming / Maintenance,Chennai,22 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Computer science</li><li class=""fleft fs12 grey-text lh16 dot"">Hibernate</li><li class=""fleft fs12 grey-text lh16 dot"">Tomcat</li><li class=""fleft fs12 grey-text lh16 dot"">Backend</li><li class=""fleft fs12 grey-text lh16 dot"">Front end</li><li class=""fleft fs12 grey-text lh16 dot"">Application programming</li><li class=""fleft fs12 grey-text lh16 dot"">MySQL</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li></ul>"
Expro Informatics India Pvt Ltd, Basic Details To contribute to Web Application development with a view to ensuring that...,1-3 Yrs,Application Programming Jobs,"IT Software - Application Programming and Design, Maintenance",Hyderabad,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Sql Server 2008</li><li class=""fleft fs12 grey-text lh16 dot"">Web application development</li><li class=""fleft fs12 grey-text lh16 dot"">SQL queries</li><li class=""fleft fs12 grey-text lh16 dot"">MS SQL</li><li class=""fleft fs12 grey-text lh16 dot"">Application programming</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">ASP.Net</li><li class=""fleft fs12 grey-text lh16 dot"">Sound</li></ul>"
Okda Solutions," Proven Web N-Tier application development experience Proficiency with C#/VB, JavaScript...",5-10 Yrs,Application Programming Jobs,Application/sql Developer - Application Programming,Hyderabad,29 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">C#</li><li class=""fleft fs12 grey-text lh16 dot"">AngularJS</li><li class=""fleft fs12 grey-text lh16 dot"">WebAPI</li><li class=""fleft fs12 grey-text lh16 dot"">SSRS</li><li class=""fleft fs12 grey-text lh16 dot"">.Net</li><li class=""fleft fs12 grey-text lh16 dot"">Webservices</li><li class=""fleft fs12 grey-text lh16 dot"">VB</li><li class=""fleft fs12 grey-text lh16 dot"">SSIS</li></ul>"
DIGIDOC SOLUTION," Experience: 1-3 years SkillsRoles: PHP, HTML, CSS, MySQL, JavaScript, J Query Levels: M...",1-3 Yrs,Application Programming Jobs,PHP Developer - Application Programming / Maintenance,Vellore,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">CSS</li><li class=""fleft fs12 grey-text lh16 dot"">jQuery</li><li class=""fleft fs12 grey-text lh16 dot"">Application programming</li><li class=""fleft fs12 grey-text lh16 dot"">MySQL</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">PHP</li><li class=""fleft fs12 grey-text lh16 dot"">HTML</li></ul>"
Anbiya Technologies," You should be able to coach, guide and mentor junior members in the teamDescription : K...",3-5 Yrs,Application Programming Jobs,Python Developer - Application Programming,Chennai,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Project Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">JSON</li><li class=""fleft fs12 grey-text lh16 dot"">Python</li></ul>"
Ness Technologies, Roles and Responsibility Design and develop automation/performance solutions that meet ...,5-8 Yrs,Application Programming Jobs,IT Software - Application Programming / Maintenance,Hyderabad,12 Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Computer science</li><li class=""fleft fs12 grey-text lh16 dot"">SOA</li><li class=""fleft fs12 grey-text lh16 dot"">RDBMS</li><li class=""fleft fs12 grey-text lh16 dot"">Coding</li><li class=""fleft fs12 grey-text lh16 dot"">Application programming</li><li class=""fleft fs12 grey-text lh16 dot"">Debugging</li><li class=""fleft fs12 grey-text lh16 dot"">Selenium</li><li class=""fleft fs12 grey-text lh16 dot"">Stored procedures</li></ul>"
Marktine, Job Overview : We are looking for an Excellent resource having a total +2 year of exper...,3-6 Yrs,Application Programming Jobs,Report Developer Application Programming & Database,Jaipur,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">C++</li><li class=""fleft fs12 grey-text lh16 dot"">PDF</li><li class=""fleft fs12 grey-text lh16 dot"">RDBMS</li><li class=""fleft fs12 grey-text lh16 dot"">Application programming</li><li class=""fleft fs12 grey-text lh16 dot"">MySQL</li><li class=""fleft fs12 grey-text lh16 dot"">power bi</li><li class=""fleft fs12 grey-text lh16 dot"">Stored procedures</li><li class=""fleft fs12 grey-text lh16 dot"">Oracle</li></ul>"
Multi Recruit, Roles and Responsibility Job Description: Consulting covering all aspects; including pr...,2-5 Yrs,Application Programming Jobs,IT Software  -  Application Programming / Maintenance,Bengaluru,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">MS SQL</li><li class=""fleft fs12 grey-text lh16 dot"">Process analysis</li><li class=""fleft fs12 grey-text lh16 dot"">Manager Quality Assurance</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Application programming</li><li class=""fleft fs12 grey-text lh16 dot"">Finance</li><li class=""fleft fs12 grey-text lh16 dot"">Social networking</li><li class=""fleft fs12 grey-text lh16 dot"">Microsoft Dynamics AX</li></ul>"
Tsys, What is your role going to be Design and develop solutions/automation to support Contin...,5-9 Yrs,Client Server Jobs,Software Engineer II (G2) - Devops,Pune,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">continuous integration</li><li class=""fleft fs12 grey-text lh16 dot"">Automation</li><li class=""fleft fs12 grey-text lh16 dot"">Payment processing</li><li class=""fleft fs12 grey-text lh16 dot"">GCP</li><li class=""fleft fs12 grey-text lh16 dot"">Configuration management</li><li class=""fleft fs12 grey-text lh16 dot"">Cloud</li><li class=""fleft fs12 grey-text lh16 dot"">Packaging</li><li class=""fleft fs12 grey-text lh16 dot"">Customer service</li></ul>"
Tsys, What Are Our Desired Skills and Capabilities? 5+ years of experience as Salesforce Supp...,4-8 Yrs,Client Server Jobs,Client Server Software Analyst Senior,Pune,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Computer science</li><li class=""fleft fs12 grey-text lh16 dot"">C++</li><li class=""fleft fs12 grey-text lh16 dot"">Data migration</li><li class=""fleft fs12 grey-text lh16 dot"">Coding</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Workflow</li><li class=""fleft fs12 grey-text lh16 dot"">Customer service</li><li class=""fleft fs12 grey-text lh16 dot"">Troubleshooting</li></ul>"
Tsys," Summary of This Role Creates, codes, debugs, maintains and implements applications. Ana...",4-8 Yrs,Client Server Jobs,Client Server Software Analyst II,Gurgaon,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Maven</li><li class=""fleft fs12 grey-text lh16 dot"">Data analysis</li><li class=""fleft fs12 grey-text lh16 dot"">jQuery</li><li class=""fleft fs12 grey-text lh16 dot"">Coding</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Unit testing</li><li class=""fleft fs12 grey-text lh16 dot"">Troubleshooting</li><li class=""fleft fs12 grey-text lh16 dot"">JIRA</li></ul>"
Tsys," Overall experience of 7-9 years Experience with: .Net framework, C#, VB.NET, ASP.NET, M...",4-9 Yrs,Client Server Jobs,Client Server Software Analyst Senior,Pune,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">C++</li><li class=""fleft fs12 grey-text lh16 dot"">MS SQL</li><li class=""fleft fs12 grey-text lh16 dot"">jQuery</li><li class=""fleft fs12 grey-text lh16 dot"">Linux</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">Windows</li><li class=""fleft fs12 grey-text lh16 dot"">WCF</li></ul>"
Tsys, What Are Our Desired Skills and Capabilities Overall experience of 3 - 5 years Experien...,2-5 Yrs,Client Server Jobs,Client Server Software Analyst II,Pune,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">C++</li><li class=""fleft fs12 grey-text lh16 dot"">MS SQL</li><li class=""fleft fs12 grey-text lh16 dot"">jQuery</li><li class=""fleft fs12 grey-text lh16 dot"">Linux</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">Windows</li><li class=""fleft fs12 grey-text lh16 dot"">WCF</li></ul>"
Qusol, iPhone Developer 6 months to 2 years of experience on iPhone app development Preferably...,2-7 Yrs,Client Server Jobs,"iPhone Developer Req - Dahisar,",Mumbai,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Bluetooth</li><li class=""fleft fs12 grey-text lh16 dot"">XML</li><li class=""fleft fs12 grey-text lh16 dot"">MySQL</li><li class=""fleft fs12 grey-text lh16 dot"">SQLite</li><li class=""fleft fs12 grey-text lh16 dot"">JSON</li><li class=""fleft fs12 grey-text lh16 dot"">Open source</li><li class=""fleft fs12 grey-text lh16 dot"">WiFi</li></ul>"
Transchamp, Preferred Bachelors degree / diploma in Design Required Candidate profileShould put him...,2-5 Yrs,Client Server Jobs,Ui/ux Designer - Photoshop/illustrator,Gurgaon,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">UX</li><li class=""fleft fs12 grey-text lh16 dot"">UI</li><li class=""fleft fs12 grey-text lh16 dot"">Illustrator</li><li class=""fleft fs12 grey-text lh16 dot"">Infographics</li><li class=""fleft fs12 grey-text lh16 dot"">Animation</li><li class=""fleft fs12 grey-text lh16 dot"">Sketch</li><li class=""fleft fs12 grey-text lh16 dot"">UI / UX Designer</li><li class=""fleft fs12 grey-text lh16 dot"">Photoshop</li></ul>"
Career Infosystem, Bachelors Degree in Computer Science or related field and 6 years- experience or master...,5-8 Yrs,Client Server Jobs,Java Backend Developer - Spring Boot/ Microservices Architecture,Gurgaon,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Java</li><li class=""fleft fs12 grey-text lh16 dot"">Azure</li><li class=""fleft fs12 grey-text lh16 dot"">Docker</li><li class=""fleft fs12 grey-text lh16 dot"">Design Patterns</li><li class=""fleft fs12 grey-text lh16 dot"">JUnit</li><li class=""fleft fs12 grey-text lh16 dot"">Microservices Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">Functional Programming</li><li class=""fleft fs12 grey-text lh16 dot"">Spring Boot</li></ul>"
"Total System Services, Inc.", What Are Our Desired Skills and Capabilities 5+ years of experience as Salesforce Suppo...,4-8 Yrs,Client Server Jobs,Client Server Software Analyst Senior,Pune,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Computer science</li><li class=""fleft fs12 grey-text lh16 dot"">C++</li><li class=""fleft fs12 grey-text lh16 dot"">Data migration</li><li class=""fleft fs12 grey-text lh16 dot"">Coding</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Workflow</li><li class=""fleft fs12 grey-text lh16 dot"">Customer service</li><li class=""fleft fs12 grey-text lh16 dot"">Troubleshooting</li></ul>"
Nvidia Corporation," In this position, you will be expected to plan and implement IP/Cluster/SOC functional ...",2-7 Yrs,Client Server Jobs,Senior Verification Engineer  -  ASIC,Bengaluru,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Graphics</li><li class=""fleft fs12 grey-text lh16 dot"">Simulation</li><li class=""fleft fs12 grey-text lh16 dot"">FPGA</li><li class=""fleft fs12 grey-text lh16 dot"">SOC</li><li class=""fleft fs12 grey-text lh16 dot"">Artificial Intelligence</li><li class=""fleft fs12 grey-text lh16 dot"">Perl</li><li class=""fleft fs12 grey-text lh16 dot"">System verilog</li><li class=""fleft fs12 grey-text lh16 dot"">UVM</li></ul>"
Pathlab360," Delhi NCR, Industry - Medical/ Healthcare IT/ CS/ MCA Role Admin / Maintenance / Securi...",3-8 Yrs,Client Server Jobs,IT EXECUTIVE,Delhi,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Application support</li><li class=""fleft fs12 grey-text lh16 dot"">Version control</li><li class=""fleft fs12 grey-text lh16 dot"">User training</li><li class=""fleft fs12 grey-text lh16 dot"">Compliance</li><li class=""fleft fs12 grey-text lh16 dot"">Healthcare</li><li class=""fleft fs12 grey-text lh16 dot"">Troubleshooting</li><li class=""fleft fs12 grey-text lh16 dot"">User management</li><li class=""fleft fs12 grey-text lh16 dot"">Data warehousing</li></ul>"
Qusol Consultancy, 5 - 7 Yrs. Posted On : 28 - 08 - 2017 Functional Area : IT - Software Functional Role :...,9-13 Yrs,Client Server Jobs,IT Software - Client Server,Guwahati,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Client handling</li><li class=""fleft fs12 grey-text lh16 dot"">Backend</li><li class=""fleft fs12 grey-text lh16 dot"">Email</li><li class=""fleft fs12 grey-text lh16 dot"">NoSQL</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Database</li><li class=""fleft fs12 grey-text lh16 dot"">Application development</li><li class=""fleft fs12 grey-text lh16 dot"">Software</li></ul>"
NXP Semiconductors India Pvt Ltd, Business Unit Description NXP s Automotive business unit offers sensor and processing t...,7-15 Yrs,Client Server Jobs,Hardware Functional Safety Architect,Noida,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">DFT</li><li class=""fleft fs12 grey-text lh16 dot"">Architecture</li><li class=""fleft fs12 grey-text lh16 dot"">Chip design</li><li class=""fleft fs12 grey-text lh16 dot"">SOC</li><li class=""fleft fs12 grey-text lh16 dot"">Safety analysis</li><li class=""fleft fs12 grey-text lh16 dot"">Application development</li><li class=""fleft fs12 grey-text lh16 dot"">Safety audit</li><li class=""fleft fs12 grey-text lh16 dot"">IPS</li></ul>"
Diverse Lynx India Pvt. Ltd, JOB FUNCTIONS 1. - Preperation of all India advertisement schedule. 2. - Generation of ...,1-4 Yrs,Client Server Jobs,Sales Associate,Delhi,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Sales</li><li class=""fleft fs12 grey-text lh16 dot"">Billing</li><li class=""fleft fs12 grey-text lh16 dot"">Sales Associate</li><li class=""fleft fs12 grey-text lh16 dot"">Advertising</li></ul>"
Foursis Technical Solution, Software Developer / Programmer / Software Engineer Location : Nagpur Experience : 3 - ...,3-5 Yrs,Client Server Jobs,PHP Developer,Nagpur,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">SQL database</li><li class=""fleft fs12 grey-text lh16 dot"">MySQL</li><li class=""fleft fs12 grey-text lh16 dot"">PHP</li><li class=""fleft fs12 grey-text lh16 dot"">bootstrap</li></ul>"
"Total System Services, Inc.", Job Description What Are Our Desired Skills and Capabilities Overall experience of 3-5 ...,2-5 Yrs,Client Server Jobs,Client Server Software Analyst II (G1),Pune,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">C++</li><li class=""fleft fs12 grey-text lh16 dot"">MS SQL</li><li class=""fleft fs12 grey-text lh16 dot"">jQuery</li><li class=""fleft fs12 grey-text lh16 dot"">Linux</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">Windows</li><li class=""fleft fs12 grey-text lh16 dot"">WCF</li></ul>"
"Total System Services, Inc.", What Are Our Desired Skills and Capabilities Overall experience of 3-5 years Experience...,2-5 Yrs,Client Server Jobs,Client Server Software Analyst II (G1),Pune,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">C++</li><li class=""fleft fs12 grey-text lh16 dot"">MS SQL</li><li class=""fleft fs12 grey-text lh16 dot"">jQuery</li><li class=""fleft fs12 grey-text lh16 dot"">Linux</li><li class=""fleft fs12 grey-text lh16 dot"">Project management</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">Windows</li><li class=""fleft fs12 grey-text lh16 dot"">WCF</li></ul>"
mStack Inc," Technical Lead - Backend (Client Server, Databases, NoSQL, SQL) - Kochi Location : Koch...",4-6 Yrs,Client Server Jobs,"Technical Lead - Backend (Client Server, Databases, NoSQL, SQL)",Kochi,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">server</li><li class=""fleft fs12 grey-text lh16 dot"">code</li><li class=""fleft fs12 grey-text lh16 dot"">technical</li><li class=""fleft fs12 grey-text lh16 dot"">software</li><li class=""fleft fs12 grey-text lh16 dot"">Technical Lead</li><li class=""fleft fs12 grey-text lh16 dot"">developing</li><li class=""fleft fs12 grey-text lh16 dot"">JSON</li><li class=""fleft fs12 grey-text lh16 dot"">ios</li></ul>"
Wolftain Agency, Job Description We are Hiring PHP Developer / Sr. PHP Developer with Min 2 - 5 years of...,2-5 Yrs,Client Server Jobs,PHP Developer,Bengaluru,30+ Days Ago,Not disclosed,2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">Drupal</li><li class=""fleft fs12 grey-text lh16 dot"">jQuery</li><li class=""fleft fs12 grey-text lh16 dot"">Eclipse</li><li class=""fleft fs12 grey-text lh16 dot"">MySQL</li><li class=""fleft fs12 grey-text lh16 dot"">Javascript</li><li class=""fleft fs12 grey-text lh16 dot"">CMS</li><li class=""fleft fs12 grey-text lh16 dot"">PHP</li><li class=""fleft fs12 grey-text lh16 dot"">HTML</li></ul>"
KD GLOBAL MART, Candidate must have managed Amazon and Flipkart account beforeCandidate must have Amazo...,2-5 Yrs,Ecommerce Jobs,Ecommerce Executive -,Navi Mumbai,15 Days Ago,"1,50,000 - 2,50,000 PA.",2020-07-22,"<ul class=""tags has-description""><li class=""fleft fs12 grey-text lh16 dot"">online sales</li><li class=""fleft fs12 grey-text lh16 dot"">e commerce executive</li><li class=""fleft fs12 grey-text lh16 dot"">advanced excel</li><li class=""fleft fs12 grey-text lh16 dot"">senior ecommerce excuative</li><li class=""fleft fs12 grey-text lh16 dot"">e commerce assistant</li><li class=""fleft fs12 grey-text lh16 dot"">internet sales</li><li class=""fleft fs12 grey-text lh16 dot"">online sale business developer</li></ul>"
